Número do REDS;Tipo de Relatório;Data/Hora de Criação do Registro;Data/Hora do Fato;Natureza Principal;Endereço do Fato;Município do Fato;Unidade Responsável pelo Registro;Número do BO
2025-050878637-001;POLICIAL;03/11/2025 11:25;03/11/2025 11:23;CUMPRIMENTO DE PRISAO Y10003 ;RUA LIMOGES  /  - null - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-050936814-001;POLICIAL;03/11/2025 16:32;03/11/2025 16:31;CUMPRIMENTO DE PRISAO Y10003 ;RUA VERA CRUZ  /  - JARDIM VERA CRUZ B - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-051070979-001;POLICIAL;04/11/2025 13:14;04/11/2025 13:11;CORRUPCAO ATIVA RECEPTACAO DIRECAO PERIGOSA DE VEICULO/EMBARCAC NA VIA/AGUA PUBL G01333 C01180 E08034 ;RUA DOUTOR LOUIS ENSCH  /  - PARQUE MARACANA - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-051331849-001;POLICIAL;05/11/2025 20:14;05/11/2025 20:10;CUMPRIMENTO DE PRISAO Y10003 ;RUA BARTOLOMEU BUENO  /  - BANDEIRANTES - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-051370937-001;POLICIAL;06/11/2025 01:09;06/11/2025 01:08;ADULT. SINAL IDENT. VEICULO AUTOMOTOR CLONAGEM  VEICULO G01311 ;PRACA NOSSA SENHORA DA CONCEICAO  /  - NOVO ELDORADO - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-051697365-001;POLICIAL;07/11/2025 22:28;07/11/2025 22:25;CUMPRIMENTO DE PRISAO Y10003 ;RUA ALTINO RIBEIRO  /  - ELDORADO - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-051778521-001;POLICIAL;08/11/2025 15:13;08/11/2025 15:10;CUMPRIMENTO DE PRISAO Y10003 ;AVENIDA GENERAL DAVID SARNOFF  / AVENIDA JOAO CESAR DE OLIVEIRA  - ELDORADO - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-051597068-001;POLICIAL;07/11/2025 10:51;07/11/2025 10:50;FURTO C01155 ;AVENIDA SILVA LOBO  /  - NOVA GRANADA - BELO HORIZONTE;BELO HORIZONTE;84 CIA TM/39 BPM/2 RPM M6428;
2025-052322977-001;POLICIAL;11/11/2025 19:19;11/11/2025 19:18;TRAFICO ILICITO DE DROGAS PORTE ILEGAL ARMA DE FOGO/ACESSÓRIO/MUNIÇÃO DE USO PERMITIDO I04033 E03014 ;AVENIDA DONA CARMELIA DUTRA  /  - BEATRIZ - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-052436585-001;POLICIAL;12/11/2025 14:06;12/11/2025 12:40;FURTO C01155 ;RUA URUCURI  /  - NOVO ELDORADO - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
